kampanya_id,kampanya_adi,platform,urun_kategorisi,donem,harcama_tl,gosterim,tiklama,frekans,donusum,gelir_tl
K001,Yaz Koleksiyonu Lansman,Instagram,Kadin Giyim,2026-01,1280,56000,1160,1.3,28,4200
K002,Erkek Basic Tisort Serisi,Instagram,Erkek Giyim,2026-01,2024,87400,1311,1.8,34,4195
K003,Ev Tekstili Indirim,Facebook,Ev Tekstili,2026-01,2852,128800,1932,2.0,41,6210
K004,Aksesuar Yeni Sezon,Instagram,Aksesuar,2026-01,1656,80960,1619,1.9,26,2401
K005,Kadin Elbise Retargeting,Instagram,Kadin Giyim,2026-01,3240,54000,2160,1.4,108,16200
K006,Erkek Ceket Kampanyasi,Facebook,Erkek Giyim,2026-01,3120,76930,1214,2.0,17,2491
K007,Nevresim Takimi Story Reklam,Instagram,Ev Tekstili,2026-01,1380,66240,993,1.7,28,4278
K008,Kadin Ayakkabi Carousel,Instagram,Aksesuar,2026-01,2484,92920,1858,1.8,53,8004
K009,Cocuk Giyim Anneler Gunu,Facebook,Cocuk Giyim,2026-01,1840,78200,1173,2.1,36,5520
K010,Havlu Bornoz Seti,Instagram,Ev Tekstili,2026-01,1104,49680,745,1.6,17,2622
K011,Kadin Giyim Genis Kitle,Instagram,Kadin Giyim,2026-01,6000,250000,3750,1.6,46,7020
K012,Erkek Ayakkabi Flash Sale,Facebook,Erkek Giyim,2026-01,2208,90160,1352,1.9,30,4554
K013,Yastik Dekor Serisi,Instagram,Ev Tekstili,2026-01,828,37720,565,1.5,11,1656
K014,Kadin Canta Yeni Sezon,Instagram,Aksesuar,2026-01,3036,105800,2116,1.8,60,9108
K015,Cocuk Ayakkabi Kampanya,Facebook,Cocuk Giyim,2026-01,1472,64400,966,2.0,19,2898
K001,Yaz Koleksiyonu Lansman,Instagram,Kadin Giyim,2026-02,1440,63000,1305,1.4,31,4725
K002,Erkek Basic Tisort Serisi,Instagram,Erkek Giyim,2026-02,2134,92150,1382,1.8,36,4423
K003,Ev Tekstili Indirim,Facebook,Ev Tekstili,2026-02,3007,135800,2037,2.0,43,6547
K003,Ev Tekstili Indirim,Facebook,Ev Tekstili,2026-02,3007,135800,2037,2.0,43,6547
K004,Aksesuar Yeni Sezon,Instagram,Aksesuar,2026-02,1746,85360,1707,1.9,28,2531
K005,Kadin Elbise Retargeting,Instagram,Kadin Giyim,2026-02,3420,57000,2280,1.4,114,17100
K006,Erkek Ceket Kampanyasi,Facebook,Erkek Giyim,2026-02,3900,89936,1388,2.1,19,2817
K007,Nevresim Takimi Story Reklam,Instagram,Ev Tekstili,2026-02,1455,69840,1047,1.7,30,4510
K008,Kadin Ayakkabi Carousel,Instagram,Aksesuar,2026-02,2619,97970,1959,1.8,56,8439
K009,Cocuk Giyim Anneler Gunu,Facebook,Cocuk Giyim,2026-02,1940,82450,1236,2.1,38,5820
K010,Havlu Bornoz Seti,Instagram,Ev Tekstili,2026-02,1164,52380,785,1.6,18,2764
K011,Kadin Giyim Genis Kitle,Instagram,Kadin Giyim,2026-02,6300,257500,3262,2.2,40,6107
K012,Erkek Ayakkabi Flash Sale,Facebook,Erkek Giyim,2026-02,2328,95060,1425,1.9,32,4801
K013,Yastik Dekor Serisi,Instagram,Ev Tekstili,2026-02,873,39770,596,1.5,11,1746
K014,Kadin Canta Yeni Sezon,Instagram,Aksesuar,2026-02,3201,111550,2231,1.8,64,9603
K015,Cocuk Ayakkabi Kampanya,Facebook,Cocuk Giyim,2026-02,1552,67900,1018,2.0,20,3055
K001,Yaz Koleksiyonu Lansman,Instagram,Kadin Giyim,2026-03,1920,84000,1740,1.4,42,6300
K002,Erkek Basic Tisort Serisi,Instagram,Erkek Giyim,2026-03,2200,95000,1425,1.9,38,4560
K003,Ev Tekstili Indirim,Facebook,Ev Tekstili,2026-03,3100,140000,2100,2.1,45,6750
K004,Aksesuar Yeni Sezon,Instagram,Aksesuar,2026-03,1800,88000,1760,2.0,29,2610
K005,Kadin Elbise Retargeting,Instagram,Kadin Giyim,2026-03,3600,60000,2400,1.5,120,18000
K006,Erkek Ceket Kampanyasi,Facebook,Erkek Giyim,2026-03,4680,102179,1548,2.3,20,3114
K007,Nevresim Takimi Story Reklam,Instagram,Ev Tekstili,2026-03,1500,72000,1080,1.8,31,4650
K008,Kadin Ayakkabi Carousel,Instagram,Aksesuar,2026-03,2700,101000,2020,1.9,58,8700
K009,Cocuk Giyim Anneler Gunu,Facebook,Cocuk Giyim,2026-03,,,,,,
